Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather
DCA,"Washington, DC: Ronald Reagan Washington National",Feb-05,2,Febuary,2005,449,557,495,1,42
DEN,"Denver, CO: Denver International",Feb-05,2,Febuary,2005,729,432,581,4,42
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Feb-05,2,Febuary,2005,677,953,1293,3,83
DTW,"Detroit, MI: Detroit Metro Wayne County",Feb-05,2,Febuary,2005,496,515,949,3,190
EWR,"Newark, NJ: Newark Liberty International",Feb-05,2,Febuary,2005,361,639,2053,6,78
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Feb-05,2,Febuary,2005,398,464,862,1,39
IAD,"Washington, DC: Washington Dulles International",Feb-05,2,Febuary,2005,284,631,691,4,28
IAH,"Houston, TX: George Bush Intercontinental/Houston",Feb-05,2,Febuary,2005,433,919,1751,10,90
JFK,"New York, NY: John F. Kennedy International",Feb-05,2,Febuary,2005,441,571,693,8,69
LAS,"Las Vegas, NV: McCarran International",Feb-05,2,Febuary,2005,656,1097,1400,6,120
LAX,"Los Angeles, CA: Los Angeles International",Feb-05,2,Febuary,2005,1188,994,1951,11,118
LGA,"New York, NY: LaGuardia",Feb-05,2,Febuary,2005,402,503,2139,3,171
MCO,"Orlando, FL: Orlando International",Feb-05,2,Febuary,2005,570,592,542,5,59
MDW,"Chicago, IL: Chicago Midway International",Feb-05,2,Febuary,2005,197,465,261,0,8
MIA,"Miami, FL: Miami International",Feb-05,2,Febuary,2005,300,266,316,1,52
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Feb-05,2,Febuary,2005,493,442,733,4,70
ORD,"Chicago, IL: Chicago O'Hare International",Feb-05,2,Febuary,2005,794,1222,3132,6,114
PDX,"Portland, OR: Portland International",Feb-05,2,Febuary,2005,237,331,107,1,26
PHL,"Philadelphia, PA: Philadelphia International",Feb-05,2,Febuary,2005,524,667,1355,1,87
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Feb-05,2,Febuary,2005,737,1099,1488,12,79
SAN,"San Diego, CA: San Diego International",Feb-05,2,Febuary,2005,447,491,671,1,23
SEA,"Seattle, WA: Seattle/Tacoma International",Feb-05,2,Febuary,2005,405,693,232,4,28
SFO,"San Francisco, CA: San Francisco International",Feb-05,2,Febuary,2005,599,457,1010,0,57
SLC,"Salt Lake City, UT: Salt Lake City International",Feb-05,2,Febuary,2005,645,463,752,10,79
TPA,"Tampa, FL: Tampa International",Feb-05,2,Febuary,2005,365,511,390,1,31
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Mar-05,3,March,2005,1462,1838,5697,11,423
BOS,"Boston, MA: Logan International",Mar-05,3,March,2005,694,929,1050,8,93
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Mar-05,3,March,2005,447,803,402,8,45
CLT,"Charlotte, NC: Charlotte Douglas International",Mar-05,3,March,2005,675,717,718,2,53
DCA,"Washington, DC: Ronald Reagan Washington National",Mar-05,3,March,2005,593,723,655,3,74
DEN,"Denver, CO: Denver International",Mar-05,3,March,2005,852,586,530,9,85
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Mar-05,3,March,2005,868,1200,1491,15,108
DTW,"Detroit, MI: Detroit Metro Wayne County",Mar-05,3,March,2005,612,650,897,3,110
EWR,"Newark, NJ: Newark Liberty International",Mar-05,3,March,2005,419,876,3136,6,121
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Mar-05,3,March,2005,558,745,1537,3,86
IAD,"Washington, DC: Washington Dulles International",Mar-05,3,March,2005,372,724,777,5,43
IAH,"Houston, TX: George Bush Intercontinental/Houston",Mar-05,3,March,2005,551,942,1688,18,71
JFK,"New York, NY: John F. Kennedy International",Mar-05,3,March,2005,532,927,888,18,111
LAS,"Las Vegas, NV: McCarran International",Mar-05,3,March,2005,834,1203,739,11,48
LAX,"Los Angeles, CA: Los Angeles International",Mar-05,3,March,2005,1209,1079,1001,10,86
LGA,"New York, NY: LaGuardia",Mar-05,3,March,2005,493,720,2400,8,248
MCO,"Orlando, FL: Orlando International",Mar-05,3,March,2005,812,998,1161,7,106
MDW,"Chicago, IL: Chicago Midway International",Mar-05,3,March,2005,270,651,359,8,34
MIA,"Miami, FL: Miami International",Mar-05,3,March,2005,407,378,609,4,62
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Mar-05,3,March,2005,607,566,990,8,149
ORD,"Chicago, IL: Chicago O'Hare International",Mar-05,3,March,2005,1026,1665,3686,9,159
PDX,"Portland, OR: Portland International",Mar-05,3,March,2005,265,367,169,2,18
PHL,"Philadelphia, PA: Philadelphia International",Mar-05,3,March,2005,732,990,1472,1,118
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Mar-05,3,March,2005,799,1052,705,19,48
SAN,"San Diego, CA: San Diego International",Mar-05,3,March,2005,464,489,343,3,27
SEA,"Seattle, WA: Seattle/Tacoma International",Mar-05,3,March,2005,572,743,456,9,26
SFO,"San Francisco, CA: San Francisco International",Mar-05,3,March,2005,714,455,923,3,54
SLC,"Salt Lake City, UT: Salt Lake City International",Mar-05,3,March,2005,878,614,820,15,102
TPA,"Tampa, FL: Tampa International",Mar-05,3,March,2005,552,775,828,6,70
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Apr-05,4,April,2005,1283,1411,2734,6,316
BOS,"Boston, MA: Logan International",Apr-05,4,April,2005,499,531,750,5,60
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Apr-05,4,April,2005,326,459,310,9,25
CLT,"Charlotte, NC: Charlotte Douglas International",Apr-05,4,April,2005,418,382,652,0,31
DCA,"Washington, DC: Ronald Reagan Washington National",Apr-05,4,April,2005,424,407,479,2,36
DEN,"Denver, CO: Denver International",Apr-05,4,April,2005,627,350,440,2,57
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Apr-05,4,April,2005,585,1063,1340,3,122
DTW,"Detroit, MI: Detroit Metro Wayne County",Apr-05,4,April,2005,437,479,693,4,72
EWR,"Newark, NJ: Newark Liberty International",Apr-05,4,April,2005,369,501,2394,5,88
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Apr-05,4,April,2005,299,415,647,3,31
IAD,"Washington, DC: Washington Dulles International",Apr-05,4,April,2005,275,517,677,3,32
IAH,"Houston, TX: George Bush Intercontinental/Houston",Apr-05,4,April,2005,360,650,1135,10,63
JFK,"New York, NY: John F. Kennedy International",Apr-05,4,April,2005,405,500,1077,10,62
LAS,"Las Vegas, NV: McCarran International",Apr-05,4,April,2005,547,821,691,7,41
LAX,"Los Angeles, CA: Los Angeles International",Apr-05,4,April,2005,852,710,1026,10,42
LGA,"New York, NY: LaGuardia",Apr-05,4,April,2005,400,418,1656,2,106
MCO,"Orlando, FL: Orlando International",Apr-05,4,April,2005,476,481,581,5,43
MDW,"Chicago, IL: Chicago Midway International",Apr-05,4,April,2005,191,359,162,1,14
MIA,"Miami, FL: Miami International",Apr-05,4,April,2005,287,235,319,4,26
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Apr-05,4,April,2005,436,332,604,6,41
ORD,"Chicago, IL: Chicago O'Hare International",Apr-05,4,April,2005,811,980,1900,5,93
PDX,"Portland, OR: Portland International",Apr-05,4,April,2005,208,285,132,1,14
PHL,"Philadelphia, PA: Philadelphia International",Apr-05,4,April,2005,523,618,1123,4,53
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Apr-05,4,April,2005,594,697,779,7,29
SAN,"San Diego, CA: San Diego International",Apr-05,4,April,2005,364,369,343,2,15
SEA,"Seattle, WA: Seattle/Tacoma International",Apr-05,4,April,2005,411,582,294,6,20
SFO,"San Francisco, CA: San Francisco International",Apr-05,4,April,2005,532,339,563,9,29
SLC,"Salt Lake City, UT: Salt Lake City International",Apr-05,4,April,2005,590,382,528,8,42
TPA,"Tampa, FL: Tampa International",Apr-05,4,April,2005,321,399,473,2,25
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May-05,5,May,2005,1201,1195,3134,3,278
BOS,"Boston, MA: Logan International",May-05,5,May,2005,383,450,1299,2,86
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",May-05,5,May,2005,292,557,263,6,40
CLT,"Charlotte, NC: Charlotte Douglas International",May-05,5,May,2005,356,370,742,0,49
DCA,"Washington, DC: Ronald Reagan Washington National",May-05,5,May,2005,365,384,427,2,42
DEN,"Denver, CO: Denver International",May-05,5,May,2005,764,668,694,0,50
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",May-05,5,May,2005,705,1206,1054,5,219
DTW,"Detroit, MI: Detroit Metro Wayne County",May-05,5,May,2005,419,401,608,2,70
EWR,"Newark, NJ: Newark Liberty International",May-05,5,May,2005,329,634,2178,9,85
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",May-05,5,May,2005,304,322,470,3,38
IAD,"Washington, DC: Washington Dulles International",May-05,5,May,2005,285,649,1049,3,36
IAH,"Houston, TX: George Bush Intercontinental/Houston",May-05,5,May,2005,409,538,1061,9,50
JFK,"New York, NY: John F. Kennedy International",May-05,5,May,2005,417,433,645,7,69
LAS,"Las Vegas, NV: McCarran International",May-05,5,May,2005,664,882,614,5,31
LAX,"Los Angeles, CA: Los Angeles International",May-05,5,May,2005,1013,801,944,9,53
LGA,"New York, NY: LaGuardia",May-05,5,May,2005,374,390,1270,2,126
MCO,"Orlando, FL: Orlando International",May-05,5,May,2005,399,508,510,1,61
MDW,"Chicago, IL: Chicago Midway International",May-05,5,May,2005,223,426,206,4,28
MIA,"Miami, FL: Miami International",May-05,5,May,2005,268,266,386,2,45
MSP,"Minneapolis, MN: Minneapolis-St Paul International",May-05,5,May,2005,459,370,746,3,84
ORD,"Chicago, IL: Chicago O'Hare International",May-05,5,May,2005,861,1375,2833,3,123
PDX,"Portland, OR: Portland International",May-05,5,May,2005,297,400,303,3,13
PHL,"Philadelphia, PA: Philadelphia International",May-05,5,May,2005,417,496,1073,1,61
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",May-05,5,May,2005,567,778,514,6,32
SAN,"San Diego, CA: San Diego International",May-05,5,May,2005,411,383,284,3,38
SEA,"Seattle, WA: Seattle/Tacoma International",May-05,5,May,2005,756,1003,592,8,25
SFO,"San Francisco, CA: San Francisco International",May-05,5,May,2005,577,438,1158,1,45
SLC,"Salt Lake City, UT: Salt Lake City International",May-05,5,May,2005,601,371,454,4,53
TPA,"Tampa, FL: Tampa International",May-05,5,May,2005,294,384,354,0,28
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jun-05,6,June,2005,1686,1920,6892,9,479
BOS,"Boston, MA: Logan International",Jun-05,6,June,2005,596,761,1168,1,132
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jun-05,6,June,2005,450,875,635,1,120
CLT,"Charlotte, NC: Charlotte Douglas International",Jun-05,6,June,2005,588,730,810,2,78
DCA,"Washington, DC: Ronald Reagan Washington National",Jun-05,6,June,2005,470,557,752,2,98
DEN,"Denver, CO: Denver International",Jun-05,6,June,2005,1058,1118,993,4,137
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jun-05,6,June,2005,989,1821,1514,7,286
DTW,"Detroit, MI: Detroit Metro Wayne County",Jun-05,6,June,2005,620,748,916,3,197
EWR,"Newark, NJ: Newark Liberty International",Jun-05,6,June,2005,422,838,3015,6,162
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jun-05,6,June,2005,344,514,763,3,63
IAD,"Washington, DC: Washington Dulles International",Jun-05,6,June,2005,425,1040,1392,3,64
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jun-05,6,June,2005,509,758,854,13,78
JFK,"New York, NY: John F. Kennedy International",Jun-05,6,June,2005,458,751,1336,6,129
LAS,"Las Vegas, NV: McCarran International",Jun-05,6,June,2005,873,1313,970,9,60
LAX,"Los Angeles, CA: Los Angeles International",Jun-05,6,June,2005,1335,1233,1361,16,108
LGA,"New York, NY: LaGuardia",Jun-05,6,June,2005,455,588,1793,1,161
MCO,"Orlando, FL: Orlando International",Jun-05,6,June,2005,668,855,804,7,90
MDW,"Chicago, IL: Chicago Midway International",Jun-05,6,June,2005,304,674,410,7,86
MIA,"Miami, FL: Miami International",Jun-05,6,June,2005,424,451,704,4,77
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jun-05,6,June,2005,752,817,1163,5,162
ORD,"Chicago, IL: Chicago O'Hare International",Jun-05,6,June,2005,1374,2329,3726,4,210
PDX,"Portland, OR: Portland International",Jun-05,6,June,2005,418,522,289,4,26
PHL,"Philadelphia, PA: Philadelphia International",Jun-05,6,June,2005,573,930,1634,1,180
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jun-05,6,June,2005,743,1086,735,8,61
SAN,"San Diego, CA: San Diego International",Jun-05,6,June,2005,573,604,440,4,43
SEA,"Seattle, WA: Seattle/Tacoma International",Jun-05,6,June,2005,1034,1342,756,12,61
SFO,"San Francisco, CA: San Francisco International",Jun-05,6,June,2005,876,737,1288,5,71
SLC,"Salt Lake City, UT: Salt Lake City International",Jun-05,6,June,2005,788,642,670,7,95
TPA,"Tampa, FL: Tampa International",Jun-05,6,June,2005,436,561,506,8,59
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jul-05,7,July,2005,1961,2557,8704,14,466
BOS,"Boston, MA: Logan International",Jul-05,7,July,2005,643,974,1472,2,180
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jul-05,7,July,2005,543,1083,820,10,136
CLT,"Charlotte, NC: Charlotte Douglas International",Jul-05,7,July,2005,758,867,953,3,121
DCA,"Washington, DC: Ronald Reagan Washington National",Jul-05,7,July,2005,580,771,984,5,135
DEN,"Denver, CO: Denver International",Jul-05,7,July,2005,1195,1141,863,3,121
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jul-05,7,July,2005,1439,3009,2712,14,565
DTW,"Detroit, MI: Detroit Metro Wayne County",Jul-05,7,July,2005,776,924,1127,9,252
EWR,"Newark, NJ: Newark Liberty International",Jul-05,7,July,2005,541,1234,3446,7,171
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jul-05,7,July,2005,529,696,521,7,74
IAD,"Washington, DC: Washington Dulles International",Jul-05,7,July,2005,442,1170,1548,7,79
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jul-05,7,July,2005,802,1584,1715,15,160
JFK,"New York, NY: John F. Kennedy International",Jul-05,7,July,2005,548,1165,1868,12,144
LAS,"Las Vegas, NV: McCarran International",Jul-05,7,July,2005,939,1545,801,11,116
LAX,"Los Angeles, CA: Los Angeles International",Jul-05,7,July,2005,1365,1443,942,10,149
LGA,"New York, NY: LaGuardia",Jul-05,7,July,2005,530,740,2138,2,195
MCO,"Orlando, FL: Orlando International",Jul-05,7,July,2005,794,1043,837,14,123
MDW,"Chicago, IL: Chicago Midway International",Jul-05,7,July,2005,404,879,520,13,117
MIA,"Miami, FL: Miami International",Jul-05,7,July,2005,471,492,588,3,85
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jul-05,7,July,2005,836,992,983,5,178
ORD,"Chicago, IL: Chicago O'Hare International",Jul-05,7,July,2005,1631,2241,3547,9,213
PDX,"Portland, OR: Portland International",Jul-05,7,July,2005,428,501,222,2,31
PHL,"Philadelphia, PA: Philadelphia International",Jul-05,7,July,2005,687,1167,1875,4,225
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jul-05,7,July,2005,876,1254,686,14,85
SAN,"San Diego, CA: San Diego International",Jul-05,7,July,2005,664,675,359,2,70
SEA,"Seattle, WA: Seattle/Tacoma International",Jul-05,7,July,2005,1140,1182,659,17,79
SFO,"San Francisco, CA: San Francisco International",Jul-05,7,July,2005,896,723,826,5,93
SLC,"Salt Lake City, UT: Salt Lake City International",Jul-05,7,July,2005,809,733,606,8,101
TPA,"Tampa, FL: Tampa International",Jul-05,7,July,2005,582,759,568,13,76
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Aug-05,8,August,2005,1916,2113,8440,11,381
BOS,"Boston, MA: Logan International",Aug-05,8,August,2005,582,688,1643,9,158
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Aug-05,8,August,2005,530,908,474,5,94
CLT,"Charlotte, NC: Charlotte Douglas International",Aug-05,8,August,2005,535,585,725,2,77
DCA,"Washington, DC: Ronald Reagan Washington National",Aug-05,8,August,2005,524,489,570,2,90
DEN,"Denver, CO: Denver International",Aug-05,8,August,2005,1013,788,753,9,120
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Aug-05,8,August,2005,1205,2313,2199,12,309
DTW,"Detroit, MI: Detroit Metro Wayne County",Aug-05,8,August,2005,779,957,810,8,102
EWR,"Newark, NJ: Newark Liberty International",Aug-05,8,August,2005,555,1116,2597,13,106
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Aug-05,8,August,2005,386,485,459,8,60
IAD,"Washington, DC: Washington Dulles International",Aug-05,8,August,2005,393,763,922,6,54
IAH,"Houston, TX: George Bush Intercontinental/Houston",Aug-05,8,August,2005,622,1129,1697,17,127
JFK,"New York, NY: John F. Kennedy International",Aug-05,8,August,2005,514,801,1213,15,147
LAS,"Las Vegas, NV: McCarran International",Aug-05,8,August,2005,910,1293,917,10,98
LAX,"Los Angeles, CA: Los Angeles International",Aug-05,8,August,2005,1364,1155,919,17,132
LGA,"New York, NY: LaGuardia",Aug-05,8,August,2005,550,626,1757,3,153
MCO,"Orlando, FL: Orlando International",Aug-05,8,August,2005,668,768,753,8,80
MDW,"Chicago, IL: Chicago Midway International",Aug-05,8,August,2005,345,661,312,9,56
MIA,"Miami, FL: Miami International",Aug-05,8,August,2005,363,381,583,5,75
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Aug-05,8,August,2005,836,1036,1068,12,109
ORD,"Chicago, IL: Chicago O'Hare International",Aug-05,8,August,2005,1273,1663,2422,12,163
PDX,"Portland, OR: Portland International",Aug-05,8,August,2005,352,456,204,5,24
PHL,"Philadelphia, PA: Philadelphia International",Aug-05,8,August,2005,614,861,950,3,116
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Aug-05,8,August,2005,809,1087,701,20,79
SAN,"San Diego, CA: San Diego International",Aug-05,8,August,2005,611,571,388,7,49
SEA,"Seattle, WA: Seattle/Tacoma International",Aug-05,8,August,2005,920,982,541,8,54
SFO,"San Francisco, CA: San Francisco International",Aug-05,8,August,2005,797,683,1078,11,69
SLC,"Salt Lake City, UT: Salt Lake City International",Aug-05,8,August,2005,822,684,602,17,82
TPA,"Tampa, FL: Tampa International",Aug-05,8,August,2005,437,564,487,5,60
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Sep-05,9,September,2005,1247,977,2374,8,127
BOS,"Boston, MA: Logan International",Sep-05,9,September,2005,414,457,1515,4,99
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Sep-05,9,September,2005,322,469,177,1,35
CLT,"Charlotte, NC: Charlotte Douglas International",Sep-05,9,September,2005,276,284,431,0,30
DCA,"Washington, DC: Ronald Reagan Washington National",Sep-05,9,September,2005,302,293,377,2,53
DEN,"Denver, CO: Denver International",Sep-05,9,September,2005,611,461,515,3,42
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Sep-05,9,September,2005,716,1118,1097,3,123
DTW,"Detroit, MI: Detroit Metro Wayne County",Sep-05,9,September,2005,537,549,566,3,92
EWR,"Newark, NJ: Newark Liberty International",Sep-05,9,September,2005,353,588,2302,3,98
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Sep-05,9,September,2005,228,184,213,0,16
IAD,"Washington, DC: Washington Dulles International",Sep-05,9,September,2005,231,357,527,0,19
IAH,"Houston, TX: George Bush Intercontinental/Houston",Sep-05,9,September,2005,439,518,947,15,29
JFK,"New York, NY: John F. Kennedy International",Sep-05,9,September,2005,323,328,972,5,82
LAS,"Las Vegas, NV: McCarran International",Sep-05,9,September,2005,648,947,970,5,39
LAX,"Los Angeles, CA: Los Angeles International",Sep-05,9,September,2005,1054,803,1236,11,62
LGA,"New York, NY: LaGuardia",Sep-05,9,September,2005,388,375,1306,0,90
MCO,"Orlando, FL: Orlando International",Sep-05,9,September,2005,398,323,355,1,44
MDW,"Chicago, IL: Chicago Midway International",Sep-05,9,September,2005,253,419,238,2,24
MIA,"Miami, FL: Miami International",Sep-05,9,September,2005,279,172,385,0,49
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Sep-05,9,September,2005,642,530,907,4,75
ORD,"Chicago, IL: Chicago O'Hare International",Sep-05,9,September,2005,830,1262,2500,6,119
PDX,"Portland, OR: Portland International",Sep-05,9,September,2005,267,293,131,2,12
PHL,"Philadelphia, PA: Philadelphia International",Sep-05,9,September,2005,326,426,716,1,65
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Sep-05,9,September,2005,560,744,584,8,38
SAN,"San Diego, CA: San Diego International",Sep-05,9,September,2005,414,419,420,3,31
SEA,"Seattle, WA: Seattle/Tacoma International",Sep-05,9,September,2005,549,609,474,5,24
SFO,"San Francisco, CA: San Francisco International",Sep-05,9,September,2005,660,417,1084,8,42
SLC,"Salt Lake City, UT: Salt Lake City International",Sep-05,9,September,2005,613,432,550,4,41
TPA,"Tampa, FL: Tampa International",Sep-05,9,September,2005,294,249,220,2,25
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Oct-05,10,October,2005,1288,1402,4520,8,276
BOS,"Boston, MA: Logan International",Oct-05,10,October,2005,453,586,1702,3,104
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Oct-05,10,October,2005,389,703,305,5,27
CLT,"Charlotte, NC: Charlotte Douglas International",Oct-05,10,October,2005,407,434,577,1,39
DCA,"Washington, DC: Ronald Reagan Washington National",Oct-05,10,October,2005,382,375,498,1,55
DEN,"Denver, CO: Denver International",Oct-05,10,October,2005,706,590,526,4,51
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Oct-05,10,October,2005,676,1195,997,2,109
DTW,"Detroit, MI: Detroit Metro Wayne County",Oct-05,10,October,2005,535,498,540,5,91
EWR,"Newark, NJ: Newark Liberty International",Oct-05,10,October,2005,386,720,3996,4,175
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Oct-05,10,October,2005,234,309,318,3,9
IAD,"Washington, DC: Washington Dulles International",Oct-05,10,October,2005,317,479,635,1,16
IAH,"Houston, TX: George Bush Intercontinental/Houston",Oct-05,10,October,2005,462,604,1094,9,40
JFK,"New York, NY: John F. Kennedy International",Oct-05,10,October,2005,376,453,1217,7,109
LAS,"Las Vegas, NV: McCarran International",Oct-05,10,October,2005,623,1168,1247,5,107
LAX,"Los Angeles, CA: Los Angeles International",Oct-05,10,October,2005,1056,1041,786,10,66
LGA,"New York, NY: LaGuardia",Oct-05,10,October,2005,339,394,2329,3,172
MCO,"Orlando, FL: Orlando International",Oct-05,10,October,2005,560,553,789,8,32
MDW,"Chicago, IL: Chicago Midway International",Oct-05,10,October,2005,297,558,233,3,26
MIA,"Miami, FL: Miami International",Oct-05,10,October,2005,302,221,548,1,25
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Oct-05,10,October,2005,529,477,561,7,95
ORD,"Chicago, IL: Chicago O'Hare International",Oct-05,10,October,2005,985,1101,1368,5,79
PDX,"Portland, OR: Portland International",Oct-05,10,October,2005,237,391,260,1,14
PHL,"Philadelphia, PA: Philadelphia International",Oct-05,10,October,2005,370,559,1718,1,138
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Oct-05,10,October,2005,632,1002,519,10,24
SAN,"San Diego, CA: San Diego International",Oct-05,10,October,2005,478,495,308,3,37
SEA,"Seattle, WA: Seattle/Tacoma International",Oct-05,10,October,2005,491,557,527,4,12
SFO,"San Francisco, CA: San Francisco International",Oct-05,10,October,2005,676,516,904,5,37
SLC,"Salt Lake City, UT: Salt Lake City International",Oct-05,10,October,2005,570,449,372,9,48
TPA,"Tampa, FL: Tampa International",Oct-05,10,October,2005,330,383,375,5,18
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Nov-05,11,November,2005,1466,1260,4100,3,314
BOS,"Boston, MA: Logan International",Nov-05,11,November,2005,482,609,1082,1,62
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Nov-05,11,November,2005,373,621,316,1,35
CLT,"Charlotte, NC: Charlotte Douglas International",Nov-05,11,November,2005,361,345,631,0,56
DCA,"Washington, DC: Ronald Reagan Washington National",Nov-05,11,November,2005,382,386,546,3,44
DEN,"Denver, CO: Denver International",Nov-05,11,November,2005,692,590,576,4,49
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Nov-05,11,November,2005,878,1324,1417,2,97
DTW,"Detroit, MI: Detroit Metro Wayne County",Nov-05,11,November,2005,641,600,861,2,81
EWR,"Newark, NJ: Newark Liberty International",Nov-05,11,November,2005,359,732,3562,6,122
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Nov-05,11,November,2005,358,401,489,2,18
IAD,"Washington, DC: Washington Dulles International",Nov-05,11,November,2005,261,307,435,2,18
IAH,"Houston, TX: George Bush Intercontinental/Houston",Nov-05,11,November,2005,499,682,1332,9,51
JFK,"New York, NY: John F. Kennedy International",Nov-05,11,November,2005,484,619,976,7,79
LAS,"Las Vegas, NV: McCarran International",Nov-05,11,November,2005,658,876,670,11,24
LAX,"Los Angeles, CA: Los Angeles International",Nov-05,11,November,2005,1011,881,907,6,74
LGA,"New York, NY: LaGuardia",Nov-05,11,November,2005,380,507,2623,1,165
MCO,"Orlando, FL: Orlando International",Nov-05,11,November,2005,547,601,714,3,35
MDW,"Chicago, IL: Chicago Midway International",Nov-05,11,November,2005,272,483,307,6,45
MIA,"Miami, FL: Miami International",Nov-05,11,November,2005,327,253,615,2,20
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Nov-05,11,November,2005,566,555,811,3,63
ORD,"Chicago, IL: Chicago O'Hare International",Nov-05,11,November,2005,1096,1602,3646,3,118
PDX,"Portland, OR: Portland International",Nov-05,11,November,2005,319,345,386,7,21
PHL,"Philadelphia, PA: Philadelphia International",Nov-05,11,November,2005,346,453,816,1,57
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Nov-05,11,November,2005,581,701,449,3,33
SAN,"San Diego, CA: San Diego International",Nov-05,11,November,2005,389,327,238,0,22
SEA,"Seattle, WA: Seattle/Tacoma International",Nov-05,11,November,2005,599,570,851,6,36
SFO,"San Francisco, CA: San Francisco International",Nov-05,11,November,2005,674,473,1284,6,56
SLC,"Salt Lake City, UT: Salt Lake City International",Nov-05,11,November,2005,650,469,735,10,83
TPA,"Tampa, FL: Tampa International",Nov-05,11,November,2005,336,406,419,3,21
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Dec-05,12,December,2005,2144,2336,4898,12,509
BOS,"Boston, MA: Logan International",Dec-05,12,December,2005,619,812,884,8,96
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Dec-05,12,December,2005,544,811,430,3,59
CLT,"Charlotte, NC: Charlotte Douglas International",Dec-05,12,December,2005,513,502,776,4,55
DCA,"Washington, DC: Ronald Reagan Washington National",Dec-05,12,December,2005,534,506,597,3,72
DEN,"Denver, CO: Denver International",Dec-05,12,December,2005,1623,1183,1333,11,145
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Dec-05,12,December,2005,1119,2237,2271,13,260
